Transportadora,Localidade,Sigla do Ponto,Ponto Zona (sigla),Fluxo,Município,UF,Vazão Mensurável Mínima (Mm³/d),Vazão Mensurável Máxima (Mm³/d),Pressão de Recebimento Mínima (Kgf/cm2),Pressão de Recebimento Máxima (Kgf/cm2),Capacidade Técnica do Ponto (Mil m³/dia),Capacidade Comercial da Zona (Mil m³/dia),Capacidade Disponível da Zona (Mil m³/dia),Capacidade Contratada da Zona (Mil m³/dia),Tarifa Referência (R$/MMBtu)
TAG,Anamã,Anamã,AM,Saída,Anamã,AM,1.5,15.0,34.0,50.0,15.0,0.0,0.0,0.0,
TAG,Anchieta,Anchieta,ES1,Saída,Anchieta,ES,120.0,1200.0,34.0,44.0,1200.0,-1481.0,-2516.91,1035.91,3.901999
TAG,Anori,Anori,AM,Saída,Anori,AM,1.5,15.0,34.0,50.0,15.0,0.0,0.0,0.0,
TAG,Aparecida,Aparecida,AM,Saída,Manaus,AM,150.0,2500.0,16.0,23.0,2500.0,0.0,0.0,0.0,
TAG,Aquiraz,Aquiraz,CE1,Saída,Aquiraz,CE,65.0,650.0,9.0,11.0,650.0,21.9,-466.6,488.5,4.381511
TAG,Aracaju,Aracaju,SE,Saída,Aracaju,SE,50.0,340.0,14.0,21.0,340.0,5697.0,4248.0,1449.0,3.904875
TAG,Aracati,Aracati,CE1,Saída,Aracati,CE,3.5,40.0,14.0,20.0,40.0,21.9,-466.6,488.5,4.381511
TAG,Aracruz,Aracruz,ES3,Saída,Aracruz,ES,35.0,350.0,14.0,20.0,350.0,-131.0,-377.0,246.0,3.901999
TAG,Aratu-Manati,Arat-Manat,BA5,Saída,Simões Filho,BA,100.0,1000.0,20.0,30.0,1000.0,494.8,156.8,338.0,3.832738
TAG,Aratu-Residual,Arat-Resid,BA5,Saída,Simões Filho,BA,100.0,1000.0,20.0,30.0,1000.0,494.8,156.8,338.0,3.832738
TAG,Araçás,Araçás,BA2,Saída,Araçás,BA,3.0,30.0,30.0,39.0,30.0,112.8,70.8,42.0,3.832738
TAG,Barra do Riacho,BdoRiacho,ES3,Saída,Aracruz,ES,30.0,150.0,24.0,33.0,150.0,-131.0,-377.0,246.0,3.901999
TAG,Caapiranga,Caapiranga,AM,Saída,Caapiranga,AM,1.5,15.0,34.0,50.0,15.0,0.0,0.0,0.0,
TAG,Cabo,Cabo,PE1,Saída,Cabo de Santo Agostinho,PE,380.0,1070.0,25.0,30.0,1070.0,1713.4,-484.6100000000001,2198.01,4.076333
TAG,Caboto,Caboto,BA5,Saída,Candeias,BA,120.0,1200.0,21.0,32.0,1200.0,494.8,156.8,338.0,3.832738
TAG,Cachoeiro do Itapemirim,Cacho Itap,ES1,Saída,Cachoeiro do Itapemirim,ES,50.0,500.0,34.0,44.0,500.0,-1481.0,-2516.91,1035.91,3.901999
TAG,Camaçari-Manati,Cama-Manat,BA3,Saída,Camaçari,BA,420.0,4200.0,21.0,24.0,4200.0,-46.0,-2745.0,2699.0,3.832738
TAG,Camaçari-Residual,Cama-Resid,BA3,Saída,Camaçari,BA,274.0,2700.0,21.0,36.0,3100.0,-46.0,-2745.0,2699.0,3.832738
TAG,Campos,Campos,RJ,Saída,Campos dos Goytacazes,RJ,50.0,500.0,34.0,44.0,500.0,0.0,-351.0,351.0,2.7438
TAG,Candeias-Manati,Cand-Manat,BA4,Saída,São Francisco do Conde,BA,20.0,200.0,22.0,30.0,200.0,203.9,-1609.1,1813.0,3.832738
TAG,Candeias-Residual,Cand-Resid,BA4,Saída,São Francisco do Conde,BA,40.0,400.0,22.0,33.0,400.0,203.9,-1609.1,1813.0,3.832738
TAG,Carmópolis II (SERGAS),Car SERGAS,SE,Saída,Rosário do Catete,SE,5.0,60.0,13.5,18.5,60.0,5697.0,4248.0,1449.0,3.904875
TAG,Carmópolis II (UO-SEAL),Carmo SEAL,SE,Saída,Rosário do Catete,SE,60.0,600.0,8.5,18.0,600.0,5697.0,4248.0,1449.0,3.904875
TAG,Catu,Catu,BA2,Saída,Pojuca,BA,20.0,200.0,25.0,33.0,200.0,112.8,70.8,42.0,3.832738
TAG,Caucaia,Caucaia,CE1,Saída,Caucaia,CE,4.0,45.0,14.0,20.0,45.0,21.9,-466.6,488.5,4.381511
TAG,Cexis,Cexis,BA3,Saída,Candeias,BA,3.0,30.0,22.0,37.0,30.0,-46.0,-2745.0,2699.0,3.832738
TAG,Coari,Coari,AM,Saída,Coari,AM,17.5,175.0,34.0,50.0,175.0,0.0,0.0,0.0,
TAG,Codajás,Codajás,AM,Saída,Codajás,AM,6.0,60.0,34.0,50.0,60.0,0.0,0.0,0.0,
